time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,cpulimit,memorylimit
38,10.0,3.0,11.0,7.0,3.0,10.0,3.0,48.0,18.0,6.0,2.0,10.0,2.0,2
39,6.0,4.0,17.0,10.0,3.0,11.0,5.0,49.0,19.0,4.0,3.0,10.0,2.0,2
40,7.0,3.0,17.0,5.0,3.0,4.0,7.0,51.0,27.0,6.0,5.0,8.0,2.0,2
41,10.0,1.0,18.0,10.0,10.0,6.0,5.0,46.0,18.0,5.0,3.0,8.0,2.0,2
42,11.0,1.0,14.0,11.0,5.0,3.0,5.0,42.0,20.0,3.0,2.0,6.0,2.0,2
43,5.0,0.0,20.0,10.0,5.0,13.0,1.0,52.0,21.0,6.0,2.0,10.0,2.0,2
44,11.0,1.0,14.0,12.0,8.0,10.0,7.0,45.0,19.0,3.0,3.0,7.0,2.0,2
45,6.0,0.0,17.0,2.0,6.0,7.0,4.0,59.0,30.0,5.0,3.0,8.0,2.0,2
46,18.0,2.0,10.0,5.0,9.0,8.0,3.0,50.0,13.0,6.0,2.0,5.0,2.0,2
47,9.0,3.0,18.0,13.0,1.0,8.0,2.0,46.0,22.0,2.0,3.0,8.0,2.0,2
48,14.0,3.0,14.0,12.0,5.0,9.0,3.0,46.0,19.0,4.0,3.0,7.0,2.0,2
49,8.0,2.0,19.0,9.0,7.0,8.0,4.0,54.0,20.0,11.0,3.0,3.0,2.0,2
50,12.0,1.0,13.0,7.0,5.0,2.0,2.0,44.0,17.0,3.0,0.0,14.0,2.0,2
51,13.0,3.0,14.0,7.0,5.0,8.0,5.0,45.0,18.0,5.0,3.0,13.0,2.0,2
52,6.0,2.0,12.0,12.0,4.0,7.0,2.0,49.0,21.0,4.0,4.0,14.0,2.0,2
53,7.0,2.0,21.0,7.0,5.0,13.0,3.0,53.0,23.0,1.0,1.0,6.0,2.0,2
54,11.0,3.0,15.0,8.0,4.0,4.0,1.0,52.0,26.0,6.0,0.0,7.0,2.0,2
55,7.0,2.0,22.0,8.0,6.0,8.0,5.0,46.0,17.0,4.0,3.0,8.0,2.0,2
1,8.0,4.0,12.0,14.0,5.0,11.0,2.0,56.0,16.0,15.0,6.0,2.0,3.5,6
2,6.0,3.0,23.0,13.0,8.0,4.0,6.0,40.0,13.0,9.0,8.0,4.0,3.5,6
3,13.0,4.0,19.0,10.0,7.0,8.0,1.0,45.0,10.0,14.0,6.0,1.0,3.5,6
4,3.0,2.0,24.0,6.0,10.0,5.0,3.0,46.0,16.0,10.0,9.0,4.0,3.5,6
5,8.0,4.0,24.0,11.0,11.0,3.0,3.0,43.0,14.0,7.0,9.0,2.0,3.5,6
6,5.0,5.0,24.0,6.0,7.0,7.0,3.0,48.0,9.0,16.0,10.0,4.0,3.5,6
7,10.0,2.0,21.0,12.0,11.0,3.0,0.0,51.0,18.0,12.0,4.0,2.0,3.5,6
8,11.0,3.0,18.0,10.0,9.0,5.0,1.0,38.0,13.0,4.0,10.0,4.0,3.5,6
9,9.0,1.0,27.0,7.0,8.0,2.0,1.0,44.0,17.0,10.0,8.0,3.0,3.5,6
10,11.0,1.0,24.0,6.0,6.0,7.0,2.0,47.0,14.0,15.0,5.0,4.0,3.5,6
11,8.0,6.0,21.0,13.0,4.0,5.0,5.0,38.0,13.0,7.0,6.0,6.0,3.5,6
12,12.0,3.0,16.0,13.0,8.0,5.0,3.0,48.0,13.0,14.0,3.0,1.0,3.5,6
13,10.0,3.0,16.0,10.0,9.0,8.0,2.0,52.0,12.0,16.0,6.0,3.0,3.5,6
14,6.0,3.0,25.0,12.0,9.0,6.0,4.0,47.0,9.0,14.0,3.0,2.0,3.5,6
15,8.0,1.0,30.0,6.0,5.0,6.0,2.0,40.0,10.0,15.0,5.0,9.0,3.5,6
16,9.0,4.0,26.0,6.0,11.0,4.0,3.0,49.0,18.0,6.0,2.0,4.0,3.5,6
17,10.0,3.0,16.0,11.0,7.0,7.0,4.0,39.0,10.0,8.0,8.0,6.0,3.5,6
18,11.0,3.0,19.0,6.0,11.0,10.0,2.0,56.0,16.0,12.0,3.0,2.0,3.5,6
