,Unnamed: 0,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,cpulimit,memorylimit
138,138.0,29.0,3.0,9.0,11.0,5.0,9.0,7.0,11.0,52.0,12.0,8.0,3.0,9.0,2.0,7
139,139.0,30.0,4.0,8.0,9.0,2.0,8.0,5.0,9.0,54.0,15.0,6.0,3.0,10.0,2.0,7
140,140.0,31.0,8.0,10.0,5.0,6.0,4.0,12.0,14.0,58.0,17.0,7.0,2.0,6.0,2.0,7
141,141.0,32.0,5.0,13.0,8.0,3.0,8.0,5.0,8.0,60.0,14.0,10.0,4.0,12.0,2.0,7
142,142.0,33.0,8.0,12.0,10.0,1.0,11.0,8.0,9.0,57.0,12.0,7.0,4.0,11.0,2.0,7
143,143.0,34.0,10.0,11.0,5.0,2.0,11.0,7.0,10.0,53.0,11.0,8.0,5.0,6.0,2.0,7
144,144.0,35.0,4.0,7.0,5.0,6.0,11.0,13.0,11.0,59.0,18.0,4.0,4.0,11.0,2.0,7
145,145.0,36.0,8.0,19.0,5.0,3.0,6.0,8.0,9.0,62.0,11.0,8.0,5.0,6.0,2.0,7
146,146.0,37.0,6.0,10.0,10.0,6.0,15.0,9.0,10.0,54.0,10.0,4.0,3.0,4.0,2.0,7
147,147.0,38.0,4.0,8.0,6.0,6.0,15.0,9.0,5.0,63.0,9.0,9.0,7.0,9.0,2.0,7
148,148.0,39.0,8.0,12.0,8.0,8.0,6.0,9.0,6.0,58.0,15.0,9.0,4.0,7.0,2.0,7
149,149.0,40.0,7.0,8.0,8.0,8.0,10.0,2.0,15.0,52.0,13.0,13.0,0.0,5.0,2.0,7
150,150.0,41.0,5.0,9.0,3.0,10.0,7.0,9.0,15.0,48.0,15.0,5.0,7.0,11.0,2.0,7
151,151.0,42.0,6.0,14.0,6.0,7.0,14.0,8.0,8.0,60.0,13.0,3.0,5.0,5.0,2.0,7
152,152.0,43.0,10.0,6.0,7.0,10.0,5.0,8.0,7.0,50.0,16.0,9.0,4.0,12.0,2.0,7
153,153.0,44.0,5.0,8.0,6.0,7.0,12.0,7.0,9.0,54.0,14.0,5.0,2.0,8.0,2.0,7
154,154.0,45.0,4.0,12.0,1.0,6.0,11.0,5.0,13.0,59.0,14.0,9.0,3.0,14.0,2.0,7
155,155.0,46.0,9.0,6.0,7.0,7.0,7.0,3.0,7.0,49.0,14.0,7.0,5.0,16.0,2.0,7
156,156.0,47.0,7.0,11.0,8.0,5.0,11.0,8.0,8.0,59.0,14.0,6.0,6.0,7.0,2.0,7
157,157.0,48.0,11.0,9.0,3.0,5.0,11.0,7.0,12.0,53.0,12.0,10.0,1.0,8.0,2.0,7
158,158.0,49.0,13.0,9.0,5.0,12.0,9.0,10.0,11.0,42.0,10.0,2.0,6.0,9.0,2.0,7
159,159.0,50.0,1.0,9.0,3.0,7.0,18.0,8.0,16.0,61.0,12.0,3.0,2.0,9.0,2.0,7
160,160.0,51.0,8.0,5.0,8.0,6.0,11.0,4.0,7.0,50.0,17.0,9.0,5.0,10.0,2.0,7
161,161.0,52.0,5.0,12.0,10.0,6.0,11.0,5.0,11.0,50.0,11.0,4.0,3.0,14.0,2.0,7
162,162.0,53.0,5.0,9.0,8.0,5.0,5.0,9.0,15.0,50.0,13.0,6.0,6.0,8.0,2.0,7
163,163.0,54.0,3.0,7.0,10.0,9.0,8.0,11.0,11.0,51.0,11.0,12.0,5.0,11.0,2.0,7
164,164.0,55.0,7.0,9.0,6.0,6.0,10.0,5.0,12.0,57.0,15.0,11.0,1.0,11.0,2.0,7
165,165.0,1.0,5.0,7.0,9.0,9.0,11.0,13.0,13.0,45.0,3.0,11.0,11.0,6.0,2.5,2
166,166.0,2.0,4.0,4.0,10.0,6.0,4.0,11.0,5.0,45.0,10.0,13.0,15.0,7.0,2.5,2
167,167.0,3.0,3.0,7.0,12.0,11.0,3.0,15.0,8.0,42.0,8.0,5.0,15.0,9.0,2.5,2
168,168.0,4.0,1.0,7.0,11.0,9.0,4.0,15.0,15.0,43.0,5.0,5.0,9.0,12.0,2.5,2
169,169.0,5.0,13.0,1.0,6.0,9.0,3.0,7.0,11.0,33.0,2.0,14.0,17.0,11.0,2.5,2
170,170.0,6.0,6.0,5.0,11.0,7.0,7.0,12.0,5.0,36.0,3.0,4.0,13.0,12.0,2.5,2
171,171.0,7.0,8.0,7.0,4.0,8.0,3.0,17.0,5.0,50.0,7.0,12.0,13.0,12.0,2.5,2
172,172.0,8.0,9.0,9.0,5.0,10.0,3.0,13.0,16.0,41.0,2.0,8.0,11.0,8.0,2.5,2
173,173.0,9.0,7.0,3.0,6.0,11.0,4.0,17.0,10.0,34.0,4.0,3.0,9.0,17.0,2.5,2
174,174.0,10.0,6.0,9.0,16.0,4.0,5.0,10.0,6.0,36.0,5.0,3.0,14.0,16.0,2.5,2
175,175.0,11.0,4.0,6.0,16.0,6.0,3.0,8.0,12.0,36.0,3.0,12.0,14.0,10.0,2.5,2
176,176.0,12.0,5.0,6.0,8.0,10.0,6.0,11.0,10.0,40.0,4.0,10.0,13.0,14.0,2.5,2
177,177.0,13.0,9.0,4.0,8.0,8.0,7.0,11.0,10.0,39.0,6.0,8.0,13.0,12.0,2.5,2
178,178.0,14.0,4.0,12.0,9.0,10.0,8.0,8.0,7.0,46.0,9.0,7.0,13.0,11.0,2.5,2
179,179.0,15.0,10.0,4.0,12.0,4.0,3.0,13.0,8.0,37.0,5.0,7.0,15.0,8.0,2.5,2
180,180.0,16.0,3.0,8.0,10.0,9.0,6.0,12.0,9.0,44.0,3.0,11.0,17.0,6.0,2.5,2
181,181.0,17.0,8.0,5.0,12.0,10.0,4.0,12.0,10.0,37.0,4.0,9.0,8.0,14.0,2.5,2
182,182.0,18.0,10.0,6.0,11.0,4.0,7.0,11.0,14.0,35.0,1.0,5.0,12.0,13.0,2.5,2
183,183.0,19.0,6.0,8.0,6.0,8.0,1.0,14.0,9.0,42.0,8.0,10.0,17.0,12.0,2.5,2
184,184.0,20.0,8.0,7.0,18.0,4.0,10.0,7.0,8.0,41.0,4.0,10.0,7.0,8.0,2.5,2
185,185.0,21.0,8.0,8.0,8.0,9.0,2.0,11.0,14.0,37.0,2.0,12.0,11.0,9.0,2.5,2
186,186.0,22.0,6.0,7.0,11.0,11.0,2.0,12.0,9.0,41.0,11.0,6.0,8.0,14.0,2.5,2
187,187.0,23.0,8.0,5.0,6.0,5.0,3.0,10.0,10.0,41.0,8.0,10.0,13.0,9.0,2.5,2
188,188.0,24.0,5.0,7.0,8.0,7.0,8.0,12.0,6.0,51.0,7.0,9.0,10.0,11.0,2.5,2
189,189.0,25.0,5.0,6.0,13.0,10.0,9.0,11.0,13.0,37.0,1.0,6.0,11.0,11.0,2.5,2
190,190.0,26.0,3.0,5.0,12.0,12.0,2.0,13.0,8.0,38.0,9.0,7.0,11.0,16.0,2.5,2
191,191.0,27.0,8.0,7.0,7.0,10.0,3.0,14.0,5.0,40.0,1.0,11.0,20.0,10.0,2.5,2
192,192.0,28.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,24.0,3.0,8.0,4.0,10.0,2.5,2
193,193.0,29.0,7.0,8.0,1.0,0.0,9.0,5.0,7.0,59.0,18.0,10.0,4.0,10.0,2.5,2
194,194.0,30.0,4.0,5.0,3.0,1.0,9.0,4.0,5.0,63.0,20.0,13.0,9.0,15.0,2.5,2
195,195.0,31.0,7.0,5.0,5.0,4.0,9.0,2.0,9.0,54.0,23.0,9.0,13.0,8.0,2.5,2
196,196.0,32.0,5.0,8.0,1.0,2.0,9.0,3.0,6.0,66.0,22.0,16.0,7.0,13.0,2.5,2
197,197.0,33.0,6.0,12.0,3.0,1.0,14.0,1.0,5.0,70.0,18.0,12.0,8.0,7.0,2.5,2
198,198.0,34.0,3.0,3.0,2.0,3.0,13.0,4.0,7.0,63.0,22.0,11.0,7.0,6.0,2.5,2
199,199.0,35.0,9.0,9.0,4.0,2.0,8.0,2.0,12.0,61.0,22.0,5.0,5.0,6.0,2.5,2
200,200.0,36.0,7.0,4.0,4.0,2.0,5.0,3.0,11.0,54.0,16.0,17.0,14.0,8.0,2.5,2
201,201.0,37.0,6.0,9.0,3.0,4.0,10.0,2.0,6.0,61.0,19.0,11.0,8.0,12.0,2.5,2
202,202.0,38.0,4.0,4.0,4.0,2.0,8.0,4.0,13.0,55.0,15.0,12.0,8.0,14.0,2.5,2
203,203.0,39.0,2.0,6.0,3.0,2.0,9.0,2.0,11.0,49.0,19.0,8.0,9.0,16.0,2.5,2
204,204.0,40.0,4.0,8.0,3.0,4.0,18.0,3.0,6.0,59.0,11.0,14.0,4.0,19.0,2.5,2
205,205.0,41.0,6.0,3.0,2.0,3.0,9.0,1.0,7.0,56.0,26.0,7.0,13.0,12.0,2.5,2
206,206.0,42.0,4.0,8.0,1.0,5.0,8.0,2.0,8.0,63.0,19.0,14.0,9.0,10.0,2.5,2
207,207.0,43.0,5.0,7.0,3.0,2.0,8.0,3.0,4.0,69.0,25.0,17.0,10.0,7.0,2.5,2
208,208.0,44.0,3.0,8.0,2.0,3.0,8.0,3.0,6.0,53.0,14.0,11.0,12.0,19.0,2.5,2
209,209.0,45.0,3.0,9.0,3.0,1.0,11.0,2.0,8.0,58.0,16.0,15.0,9.0,13.0,2.5,2
210,210.0,46.0,9.0,6.0,2.0,7.0,11.0,4.0,5.0,57.0,13.0,10.0,10.0,8.0,2.5,2
211,211.0,47.0,7.0,3.0,2.0,4.0,12.0,2.0,5.0,56.0,17.0,13.0,11.0,14.0,2.5,2
212,212.0,48.0,6.0,7.0,5.0,5.0,7.0,2.0,9.0,52.0,16.0,11.0,10.0,12.0,2.5,2
